player_id,team_id,first_name,last_name,dob
0,0,Al,Horford,06/03/86
1,0,Amir,Johnson,05/01/87
2,0,Avery,Bradley,11/26/1990
3,0,Demetrius,Jacks,09/07/94
4,0,Gerald,Green,1/26/1986
5,0,Isaiah,Thomas,02/07/89
6,0,Jae,Crowder,07/06/90
7,0,James,Young,8/16/1995
8,0,Jaylen,Brown,10/24/1996
9,0,Jonas,Jerebko,03/02/87
10,0,Jordan,Mickey,07/09/94
11,0,Kelly,Olynyk,4/19/1991
12,0,Marcus,Smart,03/06/94
13,0,Terry,Rozier,3/17/1994
14,0,Tyler,Zeller,1/17/1990
15,1,Bruno,Caboclo,9/21/1995
16,1,Cory,Joseph,8/20/1991
17,1,DeMar,DeRozan,08/07/89
18,1,DeMarre,Carroll,7/27/1986
19,1,Delon,Wright,4/26/1992
20,1,Fred,VanVleet,2/25/1994
21,1,Jakob,Poeltl,10/15/1995
22,1,Jared,Sullinger,03/04/92
23,1,Jonas,Valanciuna,05/06/92
24,1,Kyle,Lowry,3/25/1986
25,1,Lucas,Nogueira,7/26/1992
26,1,Norman,Powell,5/25/1993
27,1,PJ,Tucker,05/05/85
28,1,Pascal,Siakam,04/02/94
29,1,Patrick,Patterson,3/14/1989
30,1,Serge,Ibaka,9/18/1989
31,1,Terrence,Ross,02/05/91
32,2,Brandon,Jennings,9/23/1989
33,2,Carmelo,Anthony,5/29/1984
35,2,Courtney,Lee,10/03/85
36,2,Derrick,Rose,10/04/88
37,2,Joakim,Noah,2/25/1985
38,2,Justin,Holiday,04/05/89
39,2,Kristaps,Porzingi,08/02/95
40,2,Kyle,O'Quinn,3/26/1990
41,2,Lance,Thomas,4/24/1988
42,2,Marshall,Plumlee,7/14/1992
43,2,Maurice,Ndour,6/18/1992
44,2,Mindaugas,Kuzm,10/19/1989
45,2,Ron,Baker,3/30/1993
46,2,Sasha,Vujacic,03/08/84
47,2,Willy,Hemangom,5/27/1994
48,3,Alex,Poythress,09/06/93
49,3,Chasson,Randle,02/05/93
50,3,Dario,Saric,04/08/94
51,3,Ersan,Ilyasova,5/15/1987
52,3,Gerald,Henderson,12/09/87
53,3,Hollis,Thompson,04/03/91
54,3,Jahlil,Okafor,12/15/1995
55,3,Jerami,Grant,03/12/94
56,3,Jerryd,Bayless,8/20/1988
57,3,Joel,Embiid,3/16/1994
58,3,Justin,Anderson,11/19/1993
59,3,Justin,Harper,8/30/1989
60,3,Nerlens,Noel,04/10/94
61,3,Nik,Stauskas,10/07/93
62,3,Richaun,Holmes,10/15/1993
63,3,Robert,Covington,12/14/1990
64,3,Sergio,Rodriguez,06/12/86
65,3,Shawn,Long,1/29/1993
66,3,T.J.,McConnell,3/25/1992
67,3,Tiago,Splitter,01/01/85
68,3,Timothe,Luwawu-Caborrot,05/09/95
69,4,Andrew,Nicholson,12/08/89
70,4,Anthony,Bennett,3/14/1993
71,4,Archie,Goodwin,8/17/1994
72,4,Bojan,Bogdanovic,4/18/1989
73,4,Brook,Lopez,04/01/88
74,4,Caris,LeVert,8/25/1994
75,4,Chris,McCullough,02/05/95
76,4,Greivis,Vasquez,1/16/1987
77,4,Isaiah,Whitehead,03/08/95
78,4,Jeremy,Lin,8/23/1988
79,4,Joe,Harris,09/06/91
80,4,Justin,Hamilton,04/01/90
81,4,KJ,McDaniels,02/09/93
82,4,Luis,Scola,4/30/1980
83,4,Quincy,Acy,10/06/90
84,4,Randy,Foye,9/24/1983
85,4,Rondae,Hollis-Jefferson,01-03/95
86,4,Sean,Kilpatrick,01/06/90
87,4,Spencer,Dinwiddie,04-06/93
88,4,Trevor,Brooker,11/25/1987
89,4,Yogi,Ferrell,05/09/93
90,7,Kawhi,Leonard,6/29/91
91,7,LaMarcus,Aldridge,7/19/85
92,7,Danny,Green,6/22/87
93,7,Patty,Mills,8/11/88
94,7,Pau,Gasol,7/6/80
95,7,Tony,Parker,5/17/82
96,7,David,Lee,04/29/83
97,7,Jonathon,Simmons,9/14/89
98,7,Dewayne,Dedmon,8/12/89
99,7,Manu,Ginobili,7/28/77
100,7,Kyle,Anderson,9/20/93
101,7,Davis,Bertans,11/12/92
102,7,Dejounte,Murray,9/19/96
103,7,Bryn,Forbes,7/23/93
104,7,Nicolas,Laprovittola,1/31/90
105,7,Joel,Anthony,8/9/82
